,2003,2004,2005,2006,2007,2008,2009,2010,2011
f3ve,0,0,0,37260843,33402268,75356581,75356581,75356581,75356581
f3vd,0,0,0,0,0,53435309,53435309,53435309,53435309
f3vf,0,0,0,280478938,573532352,173843554,173843554,173843554,173843554
f3vi,0,0,0,1006202319,957736313,307277154,307277154,307277154,307277154
f3vj,0,0,0,106575041,132275366,55029805,55029805,55029805,55029805
f3vk,0,0,0,10545417,12214570,4926257,4926257,4926257,4926257
f3vl,0,0,0,34556702,59085326,58570695,58570695,58570695,58570695
f3vc,0,0,0,2714208,11260341,25187359,25187359,25187359,25187359
f3vm,0,0,0,2493702,2132244,753600,753600,753600,753600
f3vn,0,0,0,355027179,232056122,107486360,107486360,107486360,107486360
f3vp,0,0,0,0,9733634,1423691,1423691,1423691,1423691
f3vq,0,0,0,0,0,0,0,0,0
f3vr,0,0,0,0,0,577034,577034,577034,577034
f3vs,0,0,0,0,0,1071520,1071520,1071520,1071520
f5hd,0,0,0,0,11166586,13036050,13036050,13036050,13036050
f5id,0,0,0,0,3116616,2959511,2959511,2959511,2959511
f5jd,0,0,0,0,614634,492511,492511,492511,492511
f5qf,0,0,0,0,115686219,90652228,90652228,90652228,90652228
f5qg,0,0,0,0,84026054,103880872,103880872,103880872,103880872
f5qn,0,0,0,0,46642182,77428502,77428502,77428502,77428502
f5qo,0,0,0,0,84409945,110389602,110389602,110389602,110389602
f5qp,0,0,0,0,98778250,111146756,111146756,111146756,111146756
f5qq,0,0,0,0,132056475,122187514,122187514,122187514,122187514
f5sq,0,0,0,494280962,0,0,0,0,0
f5rn,0,0,0,33585388,40721078,40305165,40305165,40305165,40305165
f5rp,0,0,0,39287013,52076757,78819443,78819443,78819443,78819443
f5rr,0,0,0,95245981,142869651,133901169,133901169,133901169,133901169
f5ro,0,0,0,35963554,48466693,62916715,62916715,62916715,62916715
f5rq,0,0,0,57279387,86209176,123861388,123861388,123861388,123861388
f5rw,0,0,0,168959609,161588672,178193091,178193091,178193091,178193091
f5ql,0,0,0,2470758,3182881,3360244,3360244,3360244,3360244
f5rl,0,0,0,229470,290269,294381,294381,294381,294381
f5sl,0,0,0,0,0,0,0,0,0
f5qm,0,0,0,33155814,27810036,36650833,36650833,36650833,36650833
f5rm,0,0,0,1703320,1843053,1938039,1938039,1938039,1938039
f5jg,0,0,0,0,0,141721318,141721318,141721318,141721318
f5rf,0,0,0,0,21787937,24579118,24579118,24579118,24579118
f5sf,0,0,0,0,38095,0,0,0,0
f5jj,0,0,0,0,5668704,6560531,6560531,6560531,6560531
f5rg,0,0,0,0,765126,1375761,1375761,1375761,1375761
f5sg,0,0,0,0,0,0,0,0,0
f5sv,0,0,0,278071,375602,497097,497097,497097,497097
f5sw,0,0,0,0,97653,77212,77212,77212,77212
f5sx,0,0,0,0,0,0,0,0,0
f5ht,0,0,0,0,14103392,9762211,9762211,9762211,9762211
f5it,0,0,0,0,13959914,13322964,13322964,13322964,13322964
f5jt,0,0,0,0,4446611,5794440,5794440,5794440,5794440
f5kt,0,0,0,0,6712953,8922793,8922793,8922793,8922793
f5lt,0,0,0,0,9522601,14344469,14344469,14344469,14344469
f5mt,0,0,0,0,16547591,17279930,17279930,17279930,17279930
f5hy,0,0,0,858585922,1017623064,1096679615,1096679615,1096679615,1096679615
f5iy,0,0,0,370773121,459733965,512184636,512184636,512184636,512184636
f5jy,0,0,0,2605247,2293341,2851154,2851154,2851154,2851154
f5hz,0,0,0,1227305050,1211026619,1055431632,1055431632,1055431632,1055431632
f5iz,0,0,0,282895144,254392150,272226764,272226764,272226764,272226764
f5jz,0,0,0,318312,229745,49613,49613,49613,49613
f5hg,0,0,0,949348832,1049078917,885673359,885673359,885673359,885673359
f5ig,0,0,0,161259216,190738048,225466350,225466350,225466350,225466350
f7ge,0,0,0,6312444,6720541,7263767,7263767,7263767,7263767
f7gf,0,0,0,898397,960585,1164720,1164720,1164720,1164720
f7gg,0,0,0,55020,69696,94239,94239,94239,94239
f7eb,0,0,0,31973,39207,47073,47073,47073,47073
f7ed,0,0,0,17177,21381,26223,26223,26223,26223
f7eg,0,0,0,1682,2214,2974,2974,2974,2974
f7ua,0,0,0,1129720259,690926,0,0,0,0
f7ub,0,0,0,15081591,11386300,0,0,0,0
f7uj,0,0,0,601188174,352795,0,0,0,0
f7ui,0,0,0,323728815,435954,618759592,618759592,618759592,618759592
f7ur,0,0,0,576493520,679208479,820005551,820005551,820005551,820005551
f7oz,0,0,0,5353434,7300723,8736934,8736934,8736934,8736934
f7pz,0,0,0,13820324,12147014,11401402,11401402,11401402,11401402
f7qz,0,0,0,13372689,14438480,17619627,17619627,17619627,17619627
f7rz,0,0,0,19031707,27564978,22026436,22026436,22026436,22026436
f7sz,0,0,0,45436288,45407345,40779837,40779837,40779837,40779837
f7fg,0,0,0,50030,56973,55156,55156,55156,55156
f7ff,0,0,0,41611435,43433130,42710976,42710976,42710976,42710976
f7cf,0,0,0,1113168583,1231202574,1288692547,1288692547,1288692547,1288692547
f7cl,0,0,0,73983532,94808259,119201355,119201355,119201355,119201355
f7cm,0,0,0,151508974,164913041,208799516,208799516,208799516,208799516
f7cn,0,0,0,327670866,368960939,423309457,423309457,423309457,423309457
f7gq,0,0,0,590273822,690478776,495385167,495385167,495385167,495385167
f7fq,0,0,0,222061371,323099867,315972112,315972112,315972112,315972112
f7fm,0,0,0,0,15087522,20018022,20018022,20018022,20018022
